"TIMESTAMP","tree_infection_status","tree_ID","Psi_trunk_MPa"
"2018-03-25 00:00:00","uninfected","E_moluccana_uninfected_1",-1.97
"2018-03-25 00:10:00","uninfected","E_moluccana_uninfected_1",-1.97
"2018-03-25 00:20:00","uninfected","E_moluccana_uninfected_1",-1.94
"2018-03-25 00:30:00","uninfected","E_moluccana_uninfected_1",-1.9
"2018-03-25 00:40:00","uninfected","E_moluccana_uninfected_1",-1.91
"2018-03-25 00:50:00","uninfected","E_moluccana_uninfected_1",-1.93
"2018-03-25 01:00:00","uninfected","E_moluccana_uninfected_1",-1.95
"2018-03-25 01:10:00","uninfected","E_moluccana_uninfected_1",-1.97
"2018-03-25 01:20:00","uninfected","E_moluccana_uninfected_1",-1.96
"2018-03-25 01:30:00","uninfected","E_moluccana_uninfected_1",-1.97
"2018-03-25 01:40:00","uninfected","E_moluccana_uninfected_1",-1.96
"2018-03-25 01:50:00","uninfected","E_moluccana_uninfected_1",-1.95
"2018-03-25 02:00:00","uninfected","E_moluccana_uninfected_1",-1.94
"2018-03-25 02:10:00","uninfected","E_moluccana_uninfected_1",-1.93
"2018-03-25 02:20:00","uninfected","E_moluccana_uninfected_1",-1.94
"2018-03-25 02:30:00","uninfected","E_moluccana_uninfected_1",-1.95
"2018-03-25 02:40:00","uninfected","E_moluccana_uninfected_1",-1.98
"2018-03-25 02:50:00","uninfected","E_moluccana_uninfected_1",-1.93
"2018-03-25 03:00:00","uninfected","E_moluccana_uninfected_1",-1.95
"2018-03-25 03:10:00","uninfected","E_moluccana_uninfected_1",-1.94
"2018-03-25 03:20:00","uninfected","E_moluccana_uninfected_1",-1.91
"2018-03-25 03:30:00","uninfected","E_moluccana_uninfected_1",-1.86
"2018-03-25 03:40:00","uninfected","E_moluccana_uninfected_1",-1.83
"2018-03-25 03:50:00","uninfected","E_moluccana_uninfected_1",-1.76
"2018-03-25 04:00:00","uninfected","E_moluccana_uninfected_1",-1.74
"2018-03-25 04:10:00","uninfected","E_moluccana_uninfected_1",-1.84
"2018-03-25 04:20:00","uninfected","E_moluccana_uninfected_1",-1.88
"2018-03-25 04:30:00","uninfected","E_moluccana_uninfected_1",-1.92
"2018-03-25 04:40:00","uninfected","E_moluccana_uninfected_1",-1.89
"2018-03-25 04:50:00","uninfected","E_moluccana_uninfected_1",-1.93
"2018-03-25 05:00:00","uninfected","E_moluccana_uninfected_1",-1.95
"2018-03-25 05:10:00","uninfected","E_moluccana_uninfected_1",-1.99
"2018-03-25 05:20:00","uninfected","E_moluccana_uninfected_1",-1.98
"2018-03-25 05:30:00","uninfected","E_moluccana_uninfected_1",-1.98
"2018-03-25 05:40:00","uninfected","E_moluccana_uninfected_1",-2.02
"2018-03-25 05:50:00","uninfected","E_moluccana_uninfected_1",-2.01
"2018-03-25 06:00:00","uninfected","E_moluccana_uninfected_1",-1.96
"2018-03-25 06:10:00","uninfected","E_moluccana_uninfected_1",-2.03
"2018-03-25 06:20:00","uninfected","E_moluccana_uninfected_1",-2.04
"2018-03-25 06:30:00","uninfected","E_moluccana_uninfected_1",-2.05
"2018-03-25 06:40:00","uninfected","E_moluccana_uninfected_1",-2.06
"2018-03-25 06:50:00","uninfected","E_moluccana_uninfected_1",-2.06
"2018-03-25 07:00:00","uninfected","E_moluccana_uninfected_1",-2.06
"2018-03-25 07:10:00","uninfected","E_moluccana_uninfected_1",-2.05
"2018-03-25 07:20:00","uninfected","E_moluccana_uninfected_1",-2.03
"2018-03-25 07:30:00","uninfected","E_moluccana_uninfected_1",-2.06
"2018-03-25 07:40:00","uninfected","E_moluccana_uninfected_1",-2.05
"2018-03-25 07:50:00","uninfected","E_moluccana_uninfected_1",-2.06
"2018-03-25 08:00:00","uninfected","E_moluccana_uninfected_1",-2.08
"2018-03-25 08:10:00","uninfected","E_moluccana_uninfected_1",-2.12
"2018-03-25 08:20:00","uninfected","E_moluccana_uninfected_1",-2.19
"2018-03-25 08:30:00","uninfected","E_moluccana_uninfected_1",-2.23
"2018-03-25 08:40:00","uninfected","E_moluccana_uninfected_1",-2.22
"2018-03-25 08:50:00","uninfected","E_moluccana_uninfected_1",-2.16
"2018-03-25 09:00:00","uninfected","E_moluccana_uninfected_1",-2.03
"2018-03-25 09:10:00","uninfected","E_moluccana_uninfected_1",-1.84
"2018-03-25 09:20:00","uninfected","E_moluccana_uninfected_1",-1.75
"2018-03-25 09:30:00","uninfected","E_moluccana_uninfected_1",-1.92
"2018-03-25 09:40:00","uninfected","E_moluccana_uninfected_1",-2.17
